swift_code,bic8,bank_name,address,town_name,country_iso2,country_name,is_headquarter
PTFIPLPWARW,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWARZ,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWASZ,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWDUS,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWECH,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWEWZ,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWFAP,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWFBL,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWFDL,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWFGD,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWFGM,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWFGS,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWFIB,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWFMS,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWFOD,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWFSK,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWFSW,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWMDG,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWSUR,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
TRIVBGS1XXX,TRIVBGS1,TRANSCARD FINANCIAL SERVICES,"CHERNI VRAH BLVD 43  SOFIA, SOFIA, 1407",SOFIA,BG,BULGARIA,1
PTFIPLPWE20,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWE30,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
